Abandoned Vehicle{vin='5BCIO47BADY666668', streetName='KUNIA RD', vehicleMake=subaru, reportedDate=4/13/2013}
Abandoned Vehicle{vin='4ZSBT46UZUV618704', streetName='KOPKE ST', vehicleMake=subaru, reportedDate=2/25/2014}
Abandoned Vehicle{vin='4FKUY13JUVL281784', streetName='MELEKAI PL', vehicleMake=subaru, reportedDate=7/4/2012}
Abandoned Vehicle{vin='5CPRV83AAWG500886', streetName='POLINA PL', vehicleMake=subaru, reportedDate=8/31/2013}
Abandoned Vehicle{vin='3VWJF70KHBN873293', streetName='DATE ST', vehicleMake=subaru, reportedDate=12/21/2016}
Abandoned Vehicle{vin='3AWUN22BIXR139365', streetName='KAWAIPUNA ST', vehicleMake=subaru, reportedDate=8/26/2012}
Abandoned Vehicle{vin='5LFSZ72ZKNN814581', streetName='KAM HWY', vehicleMake=subaru, reportedDate=1/1/2018}
Abandoned Vehicle{vin='3ECXY59GIVG718301', streetName='PALANEHE PL', vehicleMake=subaru, reportedDate=4/5/2014}
Abandoned Vehicle{vin='1JJYL0WBGO56329', streetName='POLINA PL', vehicleMake=subaru, reportedDate=7/22/2015}
Abandoned Vehicle{vin='3ESNQ68SBOR971889', streetName='HAWAII KAI DR', vehicleMake=subaru, reportedDate=5/9/2013}
Abandoned Vehicle{vin='2EYRX48NTMI724702', streetName='ISENBERG ST', vehicleMake=subaru, reportedDate=10/5/2017}
Abandoned Vehicle{vin='5FTVJ91ZHMV377528', streetName='BANYAN ST', vehicleMake=subaru, reportedDate=8/22/2016}
Abandoned Vehicle{vin='3XAJT86OKEY142303', streetName='LILIPUNA RD', vehicleMake=subaru, reportedDate=8/11/2011}
Abandoned Vehicle{vin='5IDCA79WSWI267814', streetName='COOLIDGE ST', vehicleMake=subaru, reportedDate=10/30/2011}
Abandoned Vehicle{vin='2HEOI94NORI187241', streetName='KAAPEHA ST', vehicleMake=subaru, reportedDate=2/6/2016}
Abandoned Vehicle{vin='2AUSF81UYUM829449', streetName='MAKAIKAI ST', vehicleMake=subaru, reportedDate=5/7/2014}
Abandoned Vehicle{vin='5RBTS59DQFK808135', streetName='UNIVERSITY AVE', vehicleMake=subaru, reportedDate=9/17/2014}
Abandoned Vehicle{vin='4EUCB48GQVJ170261', streetName='PUOHALA ST', vehicleMake=subaru, reportedDate=8/29/2011}
Abandoned Vehicle{vin='2STQT47GMFE719288', streetName='PUOHALA ST', vehicleMake=subaru, reportedDate=9/18/2012}
Abandoned Vehicle{vin='2ZUFO45SEXL75762', streetName='LILIHA ST', vehicleMake=subaru, reportedDate=12/13/2013}
Abandoned Vehicle{vin='1LDYC20IASN648934', streetName='LILIHA ST', vehicleMake=subaru, reportedDate=1/24/2014}
Abandoned Vehicle{vin='4MIXJ99UCPF67865', streetName='KAIPOI ST', vehicleMake=subaru, reportedDate=12/4/2013}
Abandoned Vehicle{vin='2QRBC65GPVW775228', streetName='NAUAHI ST', vehicleMake=subaru, reportedDate=11/2/2012}
Abandoned Vehicle{vin='4GHTZ11YLFV819743', streetName='LILIHA ST', vehicleMake=subaru, reportedDate=4/29/2012}
Abandoned Vehicle{vin='3XKDU16FHTG325354', streetName='HALOA DR', vehicleMake=subaru, reportedDate=1/18/2015}
Abandoned Vehicle{vin='5DSED72RYLE990040', streetName='KEKUANONI ST', vehicleMake=subaru, reportedDate=7/31/2011}
Abandoned Vehicle{vin='1AMYJ21WXJU624773', streetName='KEKUANONI ST', vehicleMake=subaru, reportedDate=12/25/2014}
Abandoned Vehicle{vin='4GMUM78CXVD225031', streetName='HOMERULE ST', vehicleMake=subaru, reportedDate=2/5/2014}
Abandoned Vehicle{vin='5MMOT52BEXJ295270', streetName='HOIHOI AVE', vehicleMake=subaru, reportedDate=10/18/2016}
Abandoned Vehicle{vin='2PAAN55USZS809747', streetName='KAHUHIPA ST', vehicleMake=subaru, reportedDate=4/4/2016}
Abandoned Vehicle{vin='5PJUF90YGNK641610', streetName='KEKUANONI ST', vehicleMake=subaru, reportedDate=10/23/2016}
Abandoned Vehicle{vin='1BQGG2GEQL234178', streetName='KEWALO ST', vehicleMake=subaru, reportedDate=6/25/2011}
Abandoned Vehicle{vin='4EATY8USKP363675', streetName='WAIHONA ST', vehicleMake=subaru, reportedDate=12/12/2015}
Abandoned Vehicle{vin='3VWPR85XDMJ68465', streetName='KONO ST', vehicleMake=subaru, reportedDate=2/1/2011}
Abandoned Vehicle{vin='2MTWI78NATQ463086', streetName='MEHANI ST', vehicleMake=subaru, reportedDate=2/6/2016}
Abandoned Vehicle{vin='4PKCR47DBUP533825', streetName='MOEHA ST', vehicleMake=subaru, reportedDate=4/2/2017}
Abandoned Vehicle{vin='1QCUT96BCLH506960', streetName='KALIAWA ST', vehicleMake=subaru, reportedDate=6/2/2016}
Abandoned Vehicle{vin='2SJKY91TFFW433277', streetName='MONA ST', vehicleMake=subaru, reportedDate=1/3/2011}
Abandoned Vehicle{vin='4SHUW15FKMW242906', streetName='KOKONANI ST', vehicleMake=subaru, reportedDate=11/27/2011}
Abandoned Vehicle{vin='2WSIW47RUJQ14192', streetName='POIPU DR', vehicleMake=subaru, reportedDate=6/5/2015}
Abandoned Vehicle{vin='3UMZC44XNXU972481', streetName='HOOMALU ST', vehicleMake=subaru, reportedDate=7/15/2014}
Abandoned Vehicle{vin='5MUVZ25LJYY683622', streetName='PAKOHANA ST', vehicleMake=subaru, reportedDate=1/29/2011}
Abandoned Vehicle{vin='4FIQP64PAOZ337189', streetName='KEWALO ST', vehicleMake=subaru, reportedDate=1/29/2016}
Abandoned Vehicle{vin='2ZGLN22XXHB225566', streetName='LILIPUNA PL', vehicleMake=subaru, reportedDate=1/20/2016}
Abandoned Vehicle{vin='2VDHL98SDJH387035', streetName='PEPEEKEO PL', vehicleMake=subaru, reportedDate=11/30/2011}
Abandoned Vehicle{vin='2LLXF73RYPQ808088', streetName='VALLEY VIEW DR', vehicleMake=subaru, reportedDate=9/14/2014}
Abandoned Vehicle{vin='1HFUW30YTYP7130', streetName='HOOHIKI PL', vehicleMake=subaru, reportedDate=7/27/2014}
Abandoned Vehicle{vin='1DHLE65BVCD528627', streetName='PUEONANI ST', vehicleMake=subaru, reportedDate=9/1/2016}
Abandoned Vehicle{vin='3QUNZ43DFUP947412', streetName='HAUIKI ST', vehicleMake=subaru, reportedDate=2/7/2012}
Abandoned Vehicle{vin='4OBTB83ZUHO852138', streetName='KAMANI ST', vehicleMake=subaru, reportedDate=2/25/2011}
Abandoned Vehicle{vin='1XHXU12KQSN684780', streetName='HOKUUKALI ST', vehicleMake=subaru, reportedDate=12/14/2011}
Abandoned Vehicle{vin='2KXJW39BBPQ482599', streetName='LANIKEHA PL', vehicleMake=subaru, reportedDate=12/18/2017}
Abandoned Vehicle{vin='2YXMP86FKYV881650', streetName='HOOMOANA', vehicleMake=subaru, reportedDate=2/5/2015}
Abandoned Vehicle{vin='4TRUK95XCPD998933', streetName='HAUSTEN ST', vehicleMake=subaru, reportedDate=1/20/2013}
Abandoned Vehicle{vin='2FPKO24SPVO807727', streetName='LUSITANA ST', vehicleMake=subaru, reportedDate=9/28/2011}
Abandoned Vehicle{vin='4UJSE32OTCY141995', streetName='KAUKAMANA ST', vehicleMake=subaru, reportedDate=10/1/2017}
Abandoned Vehicle{vin='4INRG66NISC661143', streetName='KANAINA AVE', vehicleMake=subaru, reportedDate=2/22/2012}
Abandoned Vehicle{vin='5ZNTX41LBPJ480513', streetName='KAHANALEI ST', vehicleMake=subaru, reportedDate=3/6/2012}
Abandoned Vehicle{vin='5OFHT76OHEN311012', streetName='NAHIKU PL', vehicleMake=subaru, reportedDate=3/17/2012}
Abandoned Vehicle{vin='3ZZDD91SPDE816358', streetName='KAM HWY', vehicleMake=subaru, reportedDate=5/7/2011}
Abandoned Vehicle{vin='2YWAK85TQHI614069', streetName='KIMOKEO ST', vehicleMake=subaru, reportedDate=8/10/2014}
Abandoned Vehicle{vin='2XHAA92XGQJ893896', streetName='NOELANI ST', vehicleMake=subaru, reportedDate=5/17/2012}
Abandoned Vehicle{vin='1BUGD3NNGS941181', streetName='KAIKO ST', vehicleMake=subaru, reportedDate=6/24/2011}
Abandoned Vehicle{vin='4EODQ48PYPK591255', streetName='KAMANI ST', vehicleMake=subaru, reportedDate=7/27/2011}
Abandoned Vehicle{vin='1NASX84RGOJ93851', streetName='HOLUA PL', vehicleMake=subaru, reportedDate=10/14/2017}
Abandoned Vehicle{vin='1BJGK63QXGZ614550', streetName='AHUA ST', vehicleMake=subaru, reportedDate=7/15/2016}
Abandoned Vehicle{vin='2RNGM78LKIX171440', streetName='PUKAUA ST', vehicleMake=subaru, reportedDate=11/13/2011}
Abandoned Vehicle{vin='1ZPJH97IRVS187013', streetName='14TH AVE', vehicleMake=subaru, reportedDate=4/15/2015}
Abandoned Vehicle{vin='1QZPF38LVXN440019', streetName='HAPAPA ST', vehicleMake=subaru, reportedDate=3/9/2016}
Abandoned Vehicle{vin='4JRSZ61RVWV512249', streetName='9TH AVE', vehicleMake=subaru, reportedDate=4/22/2011}
Abandoned Vehicle{vin='2DBOE5LXUC292085', streetName='AUWAIOLIMU ST', vehicleMake=subaru, reportedDate=10/28/2011}
Abandoned Vehicle{vin='1MWMQ8MQTL42612', streetName='KAPEHE ST', vehicleMake=subaru, reportedDate=12/29/2016}
Abandoned Vehicle{vin='4BBUP38XPMI832035', streetName='ANAPUNI ST', vehicleMake=subaru, reportedDate=7/10/2015}
Abandoned Vehicle{vin='4YVYG58OGRS834452', streetName='WAILEHUA PL', vehicleMake=subaru, reportedDate=10/21/2013}
Abandoned Vehicle{vin='1BKOG78WSVE115980', streetName='EKEKELA PL', vehicleMake=subaru, reportedDate=11/8/2015}
Abandoned Vehicle{vin='1RMYS45QZZJ566266', streetName='KUMUNIU ST', vehicleMake=subaru, reportedDate=6/12/2013}
Abandoned Vehicle{vin='2ZMTO67AZKS798078', streetName='KAMAHAO ST', vehicleMake=subaru, reportedDate=11/5/2012}
Abandoned Vehicle{vin='2GGWH13WGOZ589396', streetName='AUIKI ST', vehicleMake=subaru, reportedDate=9/18/2013}
Abandoned Vehicle{vin='1QWRB96TLJW548605', streetName='KAIEA PL', vehicleMake=subaru, reportedDate=5/8/2014}
Abandoned Vehicle{vin='3TSOK75OGYO121622', streetName='WAILELE ST', vehicleMake=subaru, reportedDate=5/25/2017}
Abandoned Vehicle{vin='3LZRS76HIPK502599', streetName='KAIAU AVE', vehicleMake=subaru, reportedDate=10/11/2015}
Abandoned Vehicle{vin='2GKSP93PXUI664510', streetName='KEKUANONI ST', vehicleMake=subaru, reportedDate=5/2/2012}
Abandoned Vehicle{vin='1KTOX76XTGX335103', streetName='POAILANI CIR', vehicleMake=subaru, reportedDate=7/5/2015}
Abandoned Vehicle{vin='4PERC93CKLE680124', streetName='MAHANI LP', vehicleMake=subaru, reportedDate=4/24/2014}
Abandoned Vehicle{vin='1BGKP40FSNO358576', streetName='MAKIKI ST', vehicleMake=subaru, reportedDate=3/31/2011}
Abandoned Vehicle{vin='4VAGP68FXQI645940', streetName='KINOIKI ST', vehicleMake=subaru, reportedDate=9/23/2014}
Abandoned Vehicle{vin='4MCEO41ADCR121725', streetName='ALEXANDER ST', vehicleMake=subaru, reportedDate=6/3/2015}
Abandoned Vehicle{vin='4RRIL18ZLJS428040', streetName='PALAILAI ST', vehicleMake=subaru, reportedDate=8/17/2014}
Abandoned Vehicle{vin='2YLIR78META600517', streetName='HUI KELU ST', vehicleMake=subaru, reportedDate=8/9/2013}
Abandoned Vehicle{vin='1ROCE63WTVV873278', streetName='ALALOA ST', vehicleMake=subaru, reportedDate=6/2/2013}
Abandoned Vehicle{vin='1JBHY79TRQB565901', streetName='MOELIMA ST', vehicleMake=subaru, reportedDate=12/19/2013}
Abandoned Vehicle{vin='4TADI89WTTL735139', streetName='MANUAIHUE ST', vehicleMake=subaru, reportedDate=4/8/2011}
Abandoned Vehicle{vin='4NCEW9UCEK740858', streetName='FARRINGTON HWY', vehicleMake=subaru, reportedDate=1/15/2011}
Abandoned Vehicle{vin='4CRPN73YSKJ703163', streetName='NIELE PL', vehicleMake=subaru, reportedDate=11/14/2013}
Abandoned Vehicle{vin='3SPYH31GXGN698381', streetName='HILINAI ST', vehicleMake=subaru, reportedDate=6/8/2016}
Abandoned Vehicle{vin='4ROAM93YKSU944912', streetName='AUIKI ST', vehicleMake=subaru, reportedDate=11/22/2013}
Abandoned Vehicle{vin='2JTYQ92PXRL329083', streetName='NOELO ST', vehicleMake=subaru, reportedDate=4/26/2017}
Abandoned Vehicle{vin='2UTEF5FDGW800938', streetName='ISENBERG ST', vehicleMake=subaru, reportedDate=6/20/2015}
Abandoned Vehicle{vin='3USQE35OWAT925490', streetName='PANANA ST', vehicleMake=subaru, reportedDate=12/8/2014}
Abandoned Vehicle{vin='2QVZL18EQOF143815', streetName='WILIWILI ST', vehicleMake=subaru, reportedDate=4/24/2011}
Abandoned Vehicle{vin='4XBQU9QQKM864524', streetName='MAKIKI ST', vehicleMake=subaru, reportedDate=11/8/2013}
Abandoned Vehicle{vin='4XKTY47CGXV163539', streetName='LAUPAI ST', vehicleMake=subaru, reportedDate=1/20/2014}
Abandoned Vehicle{vin='1OYDL18VZUO829185', streetName='MANAIKI PL', vehicleMake=subaru, reportedDate=2/19/2011}
Abandoned Vehicle{vin='3NJKV91JKIN870883', streetName='ULUMAIKA ST', vehicleMake=subaru, reportedDate=3/29/2017}
Abandoned Vehicle{vin='1ZIKW96IULI424245', streetName='KING ST (NORTH)', vehicleMake=subaru, reportedDate=12/31/2012}
Abandoned Vehicle{vin='2DCWX3YQAT265895', streetName='KAHIKINUI CT', vehicleMake=subaru, reportedDate=3/24/2011}
