Abandoned Vehicle{vin='2WWLW24ILYG687969', streetName='KAIOHEE ST', vehicleMake=toyota, reportedDate=3/7/2017}
Abandoned Vehicle{vin='5CUOM26YGRJ654137', streetName='HAILI RD', vehicleMake=toyota, reportedDate=7/8/2017}
Abandoned Vehicle{vin='3XTEW93RSQV91110', streetName='UPAI PL', vehicleMake=toyota, reportedDate=3/25/2013}
Abandoned Vehicle{vin='1GNUF3JZEY406808', streetName='8TH AVE', vehicleMake=toyota, reportedDate=9/1/2012}
Abandoned Vehicle{vin='5WKXO51TCUH533948', streetName='HIO PL', vehicleMake=toyota, reportedDate=5/23/2013}
Abandoned Vehicle{vin='4AOKG92EICT704904', streetName='AIALII ST', vehicleMake=toyota, reportedDate=2/5/2012}
Abandoned Vehicle{vin='4DBMO29BPPV747252', streetName='ANAPUNI ST', vehicleMake=toyota, reportedDate=4/3/2013}
Abandoned Vehicle{vin='1JREM78AUOQ796138', streetName='AHAOLELO RD', vehicleMake=toyota, reportedDate=2/4/2011}
Abandoned Vehicle{vin='4UYFQ54BNPZ856371', streetName='9TH AVE', vehicleMake=toyota, reportedDate=4/17/2011}
Abandoned Vehicle{vin='3WZLU93CFJH913289', streetName='KINAU ST', vehicleMake=toyota, reportedDate=3/30/2016}
Abandoned Vehicle{vin='1KUKB95DAEJ705959', streetName='AIALII ST', vehicleMake=toyota, reportedDate=8/31/2017}
Abandoned Vehicle{vin='5KFMG16PGNH891939', streetName='PAPALI ST', vehicleMake=toyota, reportedDate=7/19/2014}
Abandoned Vehicle{vin='1CVES20CDGJ659350', streetName='LUMIHOAHU ST', vehicleMake=toyota, reportedDate=2/22/2012}
Abandoned Vehicle{vin='4STUW88OJYJ514183', streetName='PIIKOI ST', vehicleMake=toyota, reportedDate=2/1/2014}
Abandoned Vehicle{vin='1XRYO48LLPI903423', streetName='HIAHIA LP', vehicleMake=toyota, reportedDate=5/28/2016}
Abandoned Vehicle{vin='1ZSAT1YOVU495935', streetName='WAILAWA ST', vehicleMake=toyota, reportedDate=10/13/2013}
Abandoned Vehicle{vin='5LYBZ75GUQW689222', streetName='LEONUI ST', vehicleMake=toyota, reportedDate=6/2/2015}
Abandoned Vehicle{vin='5DAHB51KXWA504623', streetName='AHAOLELO RD', vehicleMake=toyota, reportedDate=4/12/2017}
Abandoned Vehicle{vin='3BOSQ51LOMX279763', streetName='PUHULI ST', vehicleMake=toyota, reportedDate=11/23/2014}
Abandoned Vehicle{vin='5JUUP93PLLJ476391', streetName='ALAU ST', vehicleMake=toyota, reportedDate=3/1/2011}
Abandoned Vehicle{vin='2ZOFW51RDHI8576', streetName='FRICKE ST', vehicleMake=toyota, reportedDate=3/30/2011}
Abandoned Vehicle{vin='5MTIL14XYVC816136', streetName='OPOI ST', vehicleMake=toyota, reportedDate=12/13/2017}
Abandoned Vehicle{vin='5FORL66MNAS272525', streetName='KAHUAHALE ST', vehicleMake=toyota, reportedDate=6/29/2011}
Abandoned Vehicle{vin='1QQUI48DPXH649566', streetName='KAIOO DR', vehicleMake=toyota, reportedDate=5/1/2012}
Abandoned Vehicle{vin='1WXOY53MKRS335345', streetName='CASTLE ST', vehicleMake=toyota, reportedDate=8/26/2014}
Abandoned Vehicle{vin='2LVJR48UBQG245780', streetName='YACHT CLUB ST', vehicleMake=toyota, reportedDate=8/15/2016}
Abandoned Vehicle{vin='4SGYO68MONQ285662', streetName='UPPER ST', vehicleMake=toyota, reportedDate=7/12/2013}
Abandoned Vehicle{vin='5TAED36WTJI358789', streetName='LILIPUNA RD', vehicleMake=toyota, reportedDate=8/23/2016}
Abandoned Vehicle{vin='1TBFT68TNPU936891', streetName='LOHIEHU PL', vehicleMake=toyota, reportedDate=6/28/2012}
Abandoned Vehicle{vin='5TVLY35KCPJ585204', streetName='HALEAKALA AVE', vehicleMake=toyota, reportedDate=8/29/2016}
Abandoned Vehicle{vin='5XHDE18VGMN245452', streetName='HALOA DR', vehicleMake=toyota, reportedDate=2/20/2012}
